date_block_num,shop_id,item_category_id,cat_shop_total_sales_sum,cat_shop_total_sales_mean,cat_shop_sales_heat
0,0,0,0.0,0.0,0.0
0,0,1,0.0,0.0,0.0
0,0,2,45.0,1.5,2.0
0,0,3,5.0,1.0,1.0
0,0,4,20.0,2.2222222222222223,1.0
0,0,5,25.0,1.6666666666666667,2.0
0,0,6,7.0,1.0,1.0
0,0,7,0.0,0.0,0.0
0,0,8,0.0,0.0,0.0
0,0,9,0.0,0.0,0.0
0,0,10,0.0,0.0,0.0
0,0,11,21.0,1.9090909090909092,1.0
0,0,12,0.0,0.0,0.0
0,0,13,6.0,3.0,1.0
0,0,14,7.0,2.3333333333333335,1.0
0,0,15,18.0,4.5,1.0
0,0,16,0.0,0.0,0.0
0,0,17,0.0,0.0,0.0
0,0,18,0.0,0.0,0.0
0,0,19,326.0,2.8596491228070176,3.0
0,0,20,0.0,0.0,0.0
0,0,21,152.0,2.303030303030303,2.0
0,0,22,37.0,1.9473684210526316,2.0
0,0,23,169.0,2.223684210526316,2.0
0,0,24,0.0,0.0,0.0
0,0,25,3.0,1.0,1.0
0,0,26,0.0,0.0,0.0
0,0,27,0.0,0.0,0.0
0,0,28,116.0,1.8709677419354838,2.0
0,0,29,20.0,2.857142857142857,1.0
0,0,30,692.0,2.8016194331983804,3.0
0,0,31,0.0,0.0,0.0
0,0,32,0.0,0.0,0.0
0,0,33,20.0,10.0,1.0
0,0,34,0.0,0.0,0.0
0,0,35,2.0,1.0,1.0
0,0,36,0.0,0.0,0.0
0,0,37,350.0,2.0588235294117645,3.0
0,0,38,66.0,1.434782608695652,2.0
0,0,39,0.0,0.0,0.0
0,0,40,1636.0,2.3205673758865246,3.0
0,0,41,166.0,2.8135593220338984,2.0
0,0,42,0.0,0.0,0.0
0,0,43,85.0,2.2972972972972974,2.0
0,0,44,0.0,0.0,0.0
0,0,45,26.0,2.888888888888889,2.0
0,0,46,0.0,0.0,0.0
0,0,47,0.0,0.0,0.0
0,0,48,0.0,0.0,0.0
0,0,49,36.0,1.8,2.0
0,0,50,0.0,0.0,0.0
0,0,51,0.0,0.0,0.0
0,0,52,0.0,0.0,0.0
0,0,53,0.0,0.0,0.0
0,0,54,0.0,0.0,0.0
0,0,55,783.0,2.517684887459807,3.0
0,0,56,21.0,2.3333333333333335,1.0
0,0,57,84.0,2.210526315789474,2.0
0,0,58,21.0,1.9090909090909092,1.0
0,0,59,53.0,2.65,2.0
0,0,60,1.0,1.0,1.0
0,0,61,0.0,0.0,0.0
0,0,62,76.0,1.7674418604651163,2.0
0,0,63,66.0,2.869565217391304,2.0
0,0,64,50.0,2.5,2.0
0,0,65,25.0,1.3157894736842106,2.0
0,0,66,16.0,2.0,1.0
0,0,67,72.0,2.0,2.0
0,0,68,0.0,0.0,0.0
0,0,69,7.0,1.4,1.0
0,0,70,18.0,1.6363636363636365,1.0
0,0,71,0.0,0.0,0.0
0,0,72,64.0,5.333333333333333,2.0
0,0,73,13.0,1.4444444444444444,1.0
0,0,74,0.0,0.0,0.0
0,0,75,79.0,1.490566037735849,2.0
0,0,76,0.0,0.0,0.0
0,0,77,44.0,3.3846153846153846,2.0
0,0,78,0.0,0.0,0.0
0,0,79,0.0,0.0,0.0
0,0,80,0.0,0.0,0.0
0,0,81,7.0,2.3333333333333335,1.0
0,0,82,18.0,2.5714285714285716,1.0
0,0,83,4.0,1.3333333333333333,1.0
0,1,0,0.0,0.0,0.0
0,1,1,0.0,0.0,0.0
0,1,2,40.0,1.4814814814814814,2.0
0,1,3,0.0,0.0,0.0
0,1,4,27.0,3.857142857142857,2.0
0,1,5,11.0,1.375,1.0
