date_block_num,item_category_id,monthly_total_item_cat_sales_sum,monthly_total_item_cat_sales_mean,monthly_total_item_cat_sales_heat
0,0,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,2,1171.0,1.7425595238095237,3.0
0,3,73.0,1.2166666666666666,2.0
0,4,532.0,2.3231441048034935,3.0
0,5,685.0,2.1540880503144653,3.0
0,6,285.0,1.4108910891089108,2.0
0,7,0.0,0.0,0.0
0,8,0.0,0.0,0.0
0,9,0.0,0.0,0.0
0,10,0.0,0.0,0.0
0,11,393.0,1.4719101123595506,3.0
0,12,0.0,0.0,0.0
0,13,58.0,1.2608695652173914,2.0
0,14,124.0,1.5121951219512195,2.0
0,15,790.0,5.064102564102564,3.0
0,16,0.0,0.0,0.0
0,17,0.0,0.0,0.0
0,18,0.0,0.0,0.0
0,19,7522.0,2.291895185862279,5.0
0,20,0.0,0.0,0.0
0,21,3362.0,2.0462568472306755,4.0
0,22,705.0,1.4748953974895398,3.0
0,23,4695.0,2.3893129770992365,4.0
0,24,0.0,0.0,0.0
0,25,126.0,1.2115384615384615,2.0
0,26,0.0,0.0,0.0
0,27,0.0,0.0,0.0
0,28,2610.0,1.8736539842067481,4.0
0,29,501.0,1.9343629343629343,3.0
0,30,15816.0,2.4113431925598414,5.0
0,31,0.0,0.0,0.0
0,32,0.0,0.0,0.0
0,33,340.0,3.617021276595745,3.0
0,34,0.0,0.0,0.0
0,35,90.0,1.2857142857142858,2.0
0,36,0.0,0.0,0.0
0,37,7993.0,1.856678281068525,5.0
0,38,2396.0,2.101754385964912,4.0
0,39,0.0,0.0,0.0
0,40,37550.0,2.0265529710184036,5.0
0,41,4207.0,2.5404589371980677,4.0
0,42,0.0,0.0,0.0
0,43,1931.0,1.9623983739837398,4.0
0,44,0.0,0.0,0.0
0,45,559.0,2.0107913669064748,3.0
0,46,0.0,0.0,0.0
0,47,0.0,0.0,0.0
0,48,0.0,0.0,0.0
0,49,760.0,1.5767634854771784,3.0
0,50,0.0,0.0,0.0
0,51,0.0,0.0,0.0
0,52,0.0,0.0,0.0
0,53,0.0,0.0,0.0
0,54,0.0,0.0,0.0
0,55,17789.0,2.1278708133971294,5.0
0,56,330.0,1.4798206278026906,3.0
0,57,2933.0,2.4647058823529413,4.0
0,58,896.0,2.3152454780361755,3.0
0,59,818.0,1.8423423423423424,3.0
0,60,78.0,1.813953488372093,2.0
0,61,2.0,1.0,1.0
0,62,1894.0,1.81940441882805,4.0
0,63,1288.0,1.7790055248618784,3.0
0,64,1132.0,2.291497975708502,3.0
0,65,540.0,1.291866028708134,3.0
0,66,505.0,1.6185897435897436,3.0
0,67,2311.0,1.8652138821630346,4.0
0,68,0.0,0.0,0.0
0,69,289.0,1.6055555555555556,2.0
0,70,246.0,1.2947368421052632,2.0
0,71,2.0,1.0,1.0
0,72,1105.0,2.4285714285714284,3.0
0,73,386.0,1.3402777777777777,3.0
0,74,0.0,0.0,0.0
0,75,1881.0,1.7384473197781884,4.0
0,76,0.0,0.0,0.0
0,77,1133.0,3.1126373626373627,3.0
0,78,0.0,0.0,0.0
0,79,17.0,1.1333333333333333,1.0
0,80,0.0,0.0,0.0
0,81,201.0,2.7162162162162162,2.0
0,82,383.0,1.9540816326530612,3.0
0,83,119.0,1.4691358024691359,2.0
1,0,0.0,0.0,0.0
1,1,0.0,0.0,0.0
1,2,1240.0,1.9106317411402156,4.0
1,3,71.0,1.1451612903225807,2.0
1,4,548.0,2.4573991031390134,3.0
1,5,1587.0,4.277628032345014,4.0
1,6,340.0,1.552511415525114,3.0
1,7,0.0,0.0,0.0
1,8,0.0,0.0,0.0
1,9,0.0,0.0,0.0
1,10,0.0,0.0,0.0
1,11,373.0,1.492,3.0
1,12,0.0,0.0,0.0
1,13,27.0,1.35,2.0
1,14,128.0,1.391304347826087,2.0
1,15,599.0,4.188811188811189,3.0
1,16,0.0,0.0,0.0
1,17,0.0,0.0,0.0
1,18,0.0,0.0,0.0
1,19,6101.0,1.9579589216944802,5.0
1,20,0.0,0.0,0.0
1,21,3030.0,2.069672131147541,4.0
1,22,1796.0,3.5009746588693957,4.0
1,23,5204.0,2.6949766960124286,5.0
1,24,0.0,0.0,0.0
1,25,141.0,1.2935779816513762,2.0
1,26,0.0,0.0,0.0
1,27,0.0,0.0,0.0
1,28,6388.0,4.081789137380191,5.0
1,29,420.0,1.883408071748879,3.0
1,30,15044.0,2.376619273301738,5.0
1,31,0.0,0.0,0.0
1,32,0.0,0.0,0.0
1,33,206.0,2.1458333333333335,3.0
1,34,0.0,0.0,0.0
1,35,60.0,1.1111111111111112,2.0
1,36,0.0,0.0,0.0
1,37,8120.0,1.9727891156462585,5.0
1,38,2024.0,1.9631425800193987,4.0
1,39,0.0,0.0,0.0
1,40,32192.0,1.8852190208479738,5.0
1,41,2781.0,2.0707371556217424,4.0
1,42,0.0,0.0,0.0
1,43,1516.0,1.7546296296296295,4.0
1,44,0.0,0.0,0.0
1,45,341.0,1.4327731092436975,3.0
1,46,433.0,10.069767441860465,3.0
1,47,0.0,0.0,0.0
1,48,0.0,0.0,0.0
1,49,681.0,1.470842332613391,3.0
1,50,0.0,0.0,0.0
1,51,0.0,0.0,0.0
1,52,0.0,0.0,0.0
1,53,0.0,0.0,0.0
1,54,0.0,0.0,0.0
1,55,18888.0,2.301730441140629,5.0
1,56,254.0,1.2828282828282829,3.0
1,57,2626.0,2.2348936170212768,4.0
1,58,812.0,2.374269005847953,3.0
1,59,751.0,1.7029478458049887,3.0
1,60,44.0,1.2571428571428571,2.0
1,61,1.0,1.0,1.0
1,62,1333.0,1.5850178359096314,4.0
1,63,1183.0,1.6139154160982265,4.0
1,64,853.0,1.8955555555555557,3.0
